ENSTNIP00000017370 tetraodon_nigroviridis
ENSAMEP00000009115 ailuropoda_melanoleuca
ENSFALP00000005823 ficedula_albicollis
ENSPPYP00000004472 pongo_abelii
ENSLOCP00000007525 lepisosteus_oculatus
ENSLACP00000022439 latimeria_chalumnae
ENSCSAP00000015337 chlorocebus_sabaeus
ENSOANP00000024761 ornithorhynchus_anatinus
ENSOPRP00000016294 ochotona_princeps
ENSPFOP00000007217 poecilia_formosa
ENSDNOP00000015747 dasypus_novemcinctus
ENSGACP00000008005 gasterosteus_aculeatus
ENSMPUP00000004184 mustela_putorius_furo
ENSOGAP00000020480 otolemur_garnettii
ENSPVAP00000016820 pteropus_vampyrus
ENSTTRP00000010994 tursiops_truncatus
ENSPSIP00000013398 pelodiscus_sinensis
ENSOARP00000002748 ovis_aries
ENSSHAP00000015521 sarcophilus_harrisii
ENSPCAP00000001437 procavia_capensis
ENSMEUP00000009139 notamacropus_eugenii
ENSJJAP00000010024 jaculus_jaculus
ENSMAUP00000019954 mesocricetus_auratus
ENSCAPP00000008812 cavia_aperea
ENSCLAP00000016837 chinchilla_lanigera
ENSDORP00000011659 dipodomys_ordii
ENSCGRP00000019384 cricetulus_griseus_crigri
ENSSTOP00000002077 ictidomys_tridecemlineatus
ENSHGLP00000027468 heterocephalus_glaber_female
ENSCPOP00000032306 cavia_porcellus
ENSHGLP00100014646 heterocephalus_glaber_male
ENSODEP00000012142 octodon_degus
ENSFDAP00000018576 fukomys_damarensis
ENSMOCP00000019788 microtus_ochrogaster
ENSCGRP00001027089 cricetulus_griseus_chok1gshd
ENSRNOP00000065206 rattus_norvegicus
ENSNGAP00000019853 nannospalax_galili
ENSCCAP00000013613 cebus_capucinus
ENSANAP00000033484 aotus_nancymaae
ENSSBOP00000022311 saimiri_boliviensis_boliviensis
ENSPTRP00000080550 pan_troglodytes
ENSCATP00000044852 cercocebus_atys
ENSPPAP00000007656 pan_paniscus
ENSPCOP00000003211 propithecus_coquereli
ENSMLEP00000035049 mandrillus_leucophaeus
ENSMNEP00000035632 macaca_nemestrina
ENSMFAP00000037249 macaca_fascicularis
ENSPANP00000006074 papio_anubis
ENSNLEP00000008947 nomascus_leucogenys
ENSRBIP00000043069 rhinopithecus_bieti
ENSCANP00000040304 colobus_angolensis_palliatus
ENSRROP00000041818 rhinopithecus_roxellana
ENSPTRP00000007404 pan_troglodytes
ENSTSYP00000021888 carlito_syrichta
MGP_CAROLIEiJ_P0087687 mus_caroli
MGP_PahariEiJ_P0023342 mus_pahari
ENSCHIP00000023988 capra_hircus
ENSCHIP00000032705 capra_hircus
ENSGGOP00000033442 gorilla_gorilla
MGP_SPRETEiJ_P0091280 mus_spretus
ENSDARP00000025613 danio_rerio
ENSPTIP00000000106 panthera_tigris_altaica
ENSPPRP00000001916 panthera_pardus
ENSDARP00000151245 danio_rerio
ENSELUP00000008426 esox_lucius
ENSATEP00000032693 anabas_testudineus
ENSAMXP00000053269 astyanax_mexicanus
ENSPMEP00000027254 poecilia_mexicana
